project_id,project_name,developer,bidding_zone,county,municipality,type,status,construction_start_years,expected_operational_years,max_reported_capacity_mw,notes
P001,EdgeConneX Skellefteå gigawatt campus,EdgeConneX,SE1,Västerbottens län,Skellefteå,hyperscale; AI,No investment decision,,,1000.0,Planerad data­center­campus på upp till 1 000 MW; tidsplan ännu inte offentliggjord. | Planerad datacenter-campus på upp till 1 000 MW i Skellefteå; utveckling beroende av tillstånd.
P002,Brookfield AI-center Strängnäs,Brookfield Asset Management,SE3,Södermanlands län,Strängnäs,hyperscale; AI,No investment decision,2025,2035; 2030,750.0,Investeringen på 95 miljarder SEK gör det möjligt att fördubbla kapaciteten från 300 MW till 750 MW; full kapacitet förväntas uppnås över en 10–15-årsperiod. | Första fasen av AI-center i Strängnäs bygger på ursprungsplanen om 300 MW innan expansion; exakta start‑/driftår ej offentliggjorda.
P003,EcoDataCenter Borlänge; Kvarnsveden,EcoDataCenter,SE3,Dalarnas län,Borlänge,hyperscale,Investment decision,2025,2027,600.0,Campuset kan enligt plan skala upp till cirka 600 MW. Full kapacitet väntas uppnås successivt efter 2027 (tidpunkt ej fastställd). | Första fasen av EcoDataCenters ‘mega campus’ vid Kvarnsveden – minst 250 MW kapacitet; de första hallarna planeras stå klara 2027.
P004,atNorth Sollefteå; Hamre Industrial Park,atNorth,SE2,Västernorrlands län,Sollefteå (Långsele),AI; HPC,No investment decision,2026,2028,300.0,300 MW campus i Hamre Industrial Park. Förbereds på 50 hektar med möjlighet till högdensitetsrack; väntas tas i drift H1 2028.
P005,EdgeMode HPC Marviken,EdgeMode; Vertical Data,SE3,Östergötlands län,Norrköping (Marviken),AI; HPC,Investment decision,2025; 2024,2030; 2026; 2025,300.0,Anläggningen är dimensionerad för att expandera till över 300 MW inom fem år efter den första fasen. | Andra fasen (75 MW) planeras att byggas ut snabbt; sammanlagd kapacitet omkring 95 MW senast 2026. | Initial fas med 20 MW HPC-kapacitet byggs i Marviken och väntas tas i drift 2025.
P006,EcoDataCenter 2 Östersund,EcoDataCenter,SE2,Jämtlands län,Östersund,hyperscale,No investment decision,2025,2026,150.0,Den fulla planen är att skala anläggningen till 150 MW. | Första etapp med 20 MW IT-belastning förväntas stå klar 2026.
P007,Nyköping SMR-datacenter,Blykalla; Evroc; Studsvik,SE3,Södermanlands län,Nyköping (Studsvik),research; SMR-linked,Concept study; no investment decision,2030,,55.0,Avsiktsförklaring om att bygga datacenter vid Studsvik som drivs av små modulära reaktorer (SMR) med cirka 55 MW per reaktor; serieproduktion av reaktorer väntas tidigast i början av 2030-talet.
P008,atNorth SWE02 Stockholm,atNorth,SE3,Stockholms län,Stockholm (Kista),AI; HPC,No investment decision,2025,2027,30.0,Planerad metroanläggning nära SWE01; ska gå i drift Q4 2027 med 30 MW kapacitet; inkluderar värmeåtervinning och ny elkundsubstation.
P009,Conapto Stockholm 5 North,Conapto,SE3,Stockholms län,Stockholm (nord),colocation; AI,No investment decision,2026,2029; 2027,28.0,"Utvecklingen siktar på en total IT-kapacitet över 28 MW (motsvarande ~40 MW kraftmatning) till 2029, enligt bolagets planer för över 140 MW ytterligare kapacitet i Stockholm. | Första fasen av det nya Stockholm 5-projektet med ca 14 MW IT-kapacitet (28 MW kraftmatning) planeras gå i drift i juni 2027."
P010,Mistral AI & EcoDataCenter AI-center,Mistral AI; EcoDataCenter,SE3,Dalarnas län,Borlänge,AI; HPC,No investment decision,2026,2027,23.0,Partnership för att bygga AI-fokuserat datacenter på Borlänge-campus; ska öppna 2027; uppskattad datorkraft cirka 23 MW.
P011,Evroc AI-datacenter Arlandastad,Evroc,SE3,Stockholms län,Sigtuna (Arlandastad),AI; HPC,No investment decision,2025,2026,18.0,"Flaggskepps-AI‑datacenter med 16 000 GPU‑platser. Byggstart första halvåret 2025, drift andra halvåret 2026."
P012,Conapto Stockholm 4 South expansion,Conapto,SE3,Stockholms län,Stockholm,colocation,Investment decision,2025,2026,8.0,"Utbyggnad som lägger till 8 MW effekt till Stockholm 4 South, vilket ökar anläggningen från 20 MW till 28 MW; ny effekt klar 1 januari 2026."
P013,ScandiDC I Eskilstuna,Scandinavian Data Centers; Enaco,SE3,Södermanlands län,Eskilstuna,colocation,Investment decision,2024,2026,6.0,Data­center byggt i bergrum; första etapp på upp till 6 MW ska stå klar Q4 2026.
P014,GlobalConnect Stockholm expansion,GlobalConnect,SE3,Stockholms län,Stockholm (söder),colocation,Investment decision,2025,2026,1.2,"Utbyggnad av GlobalConnects befintliga datacenter i södra Stockholm, tillför 1.2 MW kapacitet och tar anläggningen till 2.7 MW (lanseras 2026)."
P015,Google Horndal; Avesta,Google; DSC International AB,SE3,Dalarnas län,Avesta (Horndal),hyperscale,Permitted; no investment decision,,,,Mark- och miljödomstolen beviljade 2021 tillstånd för ett datacenter med upp till 1 500 MW installerad effekt. Google har ännu inte beslutat att bygga och måste påbörja verksamheten senast 2031 enligt domen. Not: Reservkraftsanläggningens termiska kapacitet på 1 500 MW betyder inte att IT-belastningen är så stor; ingen offentlig siffra finns.
