claim_id,project_id,project_name,phase,capacity_type,reported_capacity_mw,interpreted_it_load_mw,interpreted_grid_load_mw,start_year,scenario_tag,pue,load_factor,type,notes
C001,P001,EdgeConneX Skellefteå gigawatt campus,unknown,full_campus_potential,1000.0,1000.0,1130.0,,high,1.13,0.8,hyperscale; AI,Planerad data­center­campus på upp till 1 000 MW; tidsplan ännu inte offentliggjord.
C002,P001,EdgeConneX Skellefteå gigawatt campus,unknown,full_campus_potential,1000.0,1000.0,1130.0,,high,1.13,0.75,hyperscale,Planerad datacenter-campus på upp till 1 000 MW i Skellefteå; utveckling beroende av tillstånd.
C003,P002,Brookfield AI-center Strängnäs,Full build-out,full_campus_potential,750.0,750.0,847.4999999999999,2035.0,high,1.13,0.8,hyperscale; AI,Investeringen på 95 miljarder SEK gör det möjligt att fördubbla kapaciteten från 300 MW till 750 MW; full kapacitet förväntas uppnås över en 10–15-årsperiod.
C004,P003,EcoDataCenter Borlänge; Kvarnsveden,Full build-out,full_campus_potential,600.0,600.0,677.9999999999999,,high,1.13,0.75,hyperscale,Campuset kan enligt plan skala upp till cirka 600 MW. Full kapacitet väntas uppnås successivt efter 2027 (tidpunkt ej fastställd).
C005,P004,atNorth Sollefteå; Hamre Industrial Park,unknown,unknown,300.0,300.0,390.0,2028.0,stated,1.3,0.85,AI; HPC,300 MW campus i Hamre Industrial Park. Förbereds på 50 hektar med möjlighet till högdensitetsrack; väntas tas i drift H1 2028.
C006,P002,Brookfield AI-center Strängnäs,Phase 1,initial_phase_capacity,300.0,300.0,338.99999999999994,2030.0,stated,1.13,0.8,hyperscale; AI,Första fasen av AI-center i Strängnäs bygger på ursprungsplanen om 300 MW innan expansion; exakta start‑/driftår ej offentliggjorda.
C007,P005,EdgeMode HPC Marviken,Expansion,initial_phase_capacity,300.0,300.0,390.0,2030.0,stated,1.3,0.85,AI; HPC,Anläggningen är dimensionerad för att expandera till över 300 MW inom fem år efter den första fasen.
C008,P003,EcoDataCenter Borlänge; Kvarnsveden,Phase 1,initial_phase_capacity,250.0,250.0,282.5,2027.0,stated,1.13,0.75,hyperscale,Första fasen av EcoDataCenters ‘mega campus’ vid Kvarnsveden – minst 250 MW kapacitet; de första hallarna planeras stå klara 2027.
C009,P006,EcoDataCenter 2 Östersund,Full build-out,full_campus_potential,150.0,150.0,169.49999999999997,2025.0,high,1.13,0.75,hyperscale,Den fulla planen är att skala anläggningen till 150 MW.
C010,P005,EdgeMode HPC Marviken,Phase 2,cumulative_site_capacity,95.0,95.0,123.5,2026.0,stated,1.3,0.85,AI; HPC,Andra fasen (75 MW) planeras att byggas ut snabbt; sammanlagd kapacitet omkring 95 MW senast 2026.
C011,P007,Nyköping SMR-datacenter,Concept study,reactor_capacity,55.0,,,2030.0,concept,,,research; SMR-linked,Avsiktsförklaring om att bygga datacenter vid Studsvik som drivs av små modulära reaktorer (SMR) med cirka 55 MW per reaktor; serieproduktion av reaktorer väntas tidigast i början av 2030-talet.
C012,P008,atNorth SWE02 Stockholm,unknown,unknown,30.0,30.0,39.0,2027.0,stated,1.3,0.85,AI; HPC,Planerad metroanläggning nära SWE01; ska gå i drift Q4 2027 med 30 MW kapacitet; inkluderar värmeåtervinning och ny elkundsubstation.
C013,P009,Conapto Stockholm 5 North,Full build-out,full_campus_potential,28.0,28.0,42.0,2029.0,high,1.5,0.6,colocation; AI,"Utvecklingen siktar på en total IT-kapacitet över 28 MW (motsvarande ~40 MW kraftmatning) till 2029, enligt bolagets planer för över 140 MW ytterligare kapacitet i Stockholm."
C014,P010,Mistral AI & EcoDataCenter AI-center,unknown,unknown,23.0,23.0,29.9,2027.0,stated,1.3,0.85,AI; HPC,Partnership för att bygga AI-fokuserat datacenter på Borlänge-campus; ska öppna 2027; uppskattad datorkraft cirka 23 MW.
C015,P006,EcoDataCenter 2 Östersund,Phase 1,it_load,20.0,20.0,22.6,2026.0,stated,1.13,0.75,hyperscale,Första etapp med 20 MW IT-belastning förväntas stå klar 2026.
C016,P005,EdgeMode HPC Marviken,Phase 1,it_load,20.0,20.0,26.0,2025.0,stated,1.3,0.85,AI; HPC,Initial fas med 20 MW HPC-kapacitet byggs i Marviken och väntas tas i drift 2025.
C017,P011,Evroc AI-datacenter Arlandastad,unknown,unknown,18.0,18.0,23.4,2026.0,stated,1.3,0.85,AI; HPC,"Flaggskepps-AI‑datacenter med 16 000 GPU‑platser. Byggstart första halvåret 2025, drift andra halvåret 2026."
C018,P009,Conapto Stockholm 5 North,Phase 1,it_load,14.0,14.0,21.0,2027.0,stated,1.5,0.6,colocation; AI,Första fasen av det nya Stockholm 5-projektet med ca 14 MW IT-kapacitet (28 MW kraftmatning) planeras gå i drift i juni 2027.
C019,P012,Conapto Stockholm 4 South expansion,Expansion,incremental_expansion_capacity,8.0,8.0,12.0,2026.0,stated,1.5,0.55,colocation,"Utbyggnad som lägger till 8 MW effekt till Stockholm 4 South, vilket ökar anläggningen från 20 MW till 28 MW; ny effekt klar 1 januari 2026."
C020,P013,ScandiDC I Eskilstuna,unknown,full_campus_potential,6.0,6.0,9.0,2026.0,high,1.5,0.55,colocation,Data­center byggt i bergrum; första etapp på upp till 6 MW ska stå klar Q4 2026.
C021,P014,GlobalConnect Stockholm expansion,Expansion,incremental_expansion_capacity,1.2,1.2,1.7999999999999998,2026.0,stated,1.5,0.55,colocation,"Utbyggnad av GlobalConnects befintliga datacenter i södra Stockholm, tillför 1.2 MW kapacitet och tar anläggningen till 2.7 MW (lanseras 2026)."
